instance,instance_id,n_jobs,machines,budget,scheme,ceiling_makespan,ceiling_nodes,ceiling_runtime,maxlpt_makespan,maxlpt_nodes,maxlpt_runtime,enum_makespan,enum_nodes,enum_runtime,enum_timed_out,match_ceiling_maxlpt,match_enum_ceiling,match_enum_maxlpt,ratio_nodes_maxlpt_to_ceiling,ratio_runtime_maxlpt_to_ceiling,speedup_enum_over_ceiling,speedup_enum_over_maxlpt
Complex_023_J10_M3_B32,23,10,3,32,high_variance,120.0,311,0.017999649047851562,120.0,17,0.005613088607788086,120.0,6066,195.83184051513672,False,True,True,True,0.05466237942122187,0.31184433612376816,10879.758821659425,34888.42849254556
Complex_024_J8_M5_B29,24,8,5,29,increasing,17.0,4851,1.416006326675415,17.0,4842,1.4098734855651855,17.0,747,2.218759059906006,False,True,True,True,0.9981447124304267,0.9956689168722653,1.5669132390921883,1.5737291910391213
Complex_025_J12_M8_B20,25,12,8,20,random_realistic,14.0,655,0.16875696182250977,14.0,130,0.027998924255371094,14.0,177,2.564195156097412,False,True,True,True,0.1984732824427481,0.16591270637367234,15.194603697560673,91.5819169590245
Complex_026_J6_M4_B20,26,6,4,20,extreme,84.0,6,0.006000518798828125,84.0,6,0.004003286361694336,84.0,70,0.08152365684509277,False,True,True,True,1.0,0.6671567069294342,13.586101398601398,20.364183193377404
Complex_027_J6_M6_B58,27,6,6,58,strong_correlation,20.0,417,0.14784860610961914,20.0,272,0.09451031684875488,20.0,95,0.09650731086730957,False,True,True,True,0.6522781774580336,0.6392371178574539,0.6527441374439223,1.0211299050213796
Complex_028_J8_M4_B30,28,8,4,30,subset_sum,12.0,386,0.0935060977935791,12.0,386,0.09202075004577637,12.0,110,0.11351275444030762,False,True,True,True,1.0,0.9841149638060853,1.2139609834953708,1.2335560662550555
Complex_029_J8_M5_B17,29,8,5,17,uniform_ratios,16.0,10993,2.6899964809417725,16.0,10710,2.6340525150299072,16.0,1625,6.822112321853638,False,True,True,True,0.9742563449467844,0.979202959443174,2.5361045526220183,2.589968226877276
Complex_030_J12_M6_B30,30,12,6,30,high_variance,85.0,3586,0.14302325248718262,85.0,144,0.013001680374145508,85.0,89895,3600.0,True,True,True,True,0.040156162855549356,0.09090606001503626,25170.732292797096,276887.2865971063
Complex_031_J10_M4_B22,31,10,4,22,increasing,21.0,1414,0.15393877029418945,21.0,1184,0.12984919548034668,21.0,303,2.2940821647644043,False,True,True,True,0.8373408769448374,0.843511970585411,14.90256262525826,17.667280542463008
Complex_032_J10_M5_B16,32,10,5,16,random_realistic,22.0,89,0.00950765609741211,22.0,2,0.0045049190521240234,22.0,42,0.07928657531738281,False,True,True,True,0.02247191011235955,0.473820151461959,8.339234665730478,17.6
Complex_033_J7_M4_B24,33,7,4,24,extreme,69.0,184,0.02854013442993164,69.0,145,0.026571273803710938,69.0,452,0.7965583801269531,False,True,True,True,0.7880434782608695,0.9310143184134463,27.910113110453945,29.978178163807335
Complex_034_J6_M8_B23,34,6,8,23,strong_correlation,17.0,117,0.03804135322570801,17.0,101,0.03392338752746582,17.0,43,0.04806041717529297,False,True,True,True,0.8632478632478633,0.8917502835977111,1.263372963893781,1.4167340197490952
Complex_035_J10_M6_B45,35,10,6,45,subset_sum,12.0,5569,1.6554076671600342,12.0,5526,1.631714105606079,12.0,1413,26.066516637802124,False,True,True,True,0.9922786855808943,0.985687174208512,15.746282414241216,15.974928787000989
Complex_036_J10_M8_B13,36,10,8,13,uniform_ratios,13.0,3120,0.6894259452819824,13.0,3052,0.66642165184021,13.0,640,6.29733681678772,False,True,True,True,0.9782051282051282,0.9666326839028905,9.1341743952094,9.449478118543562
Complex_037_J12_M4_B46,37,12,4,46,high_variance,216.0,13607,0.6618890762329102,216.0,449,0.027017831802368164,216.0,380005,3600.0,True,True,True,True,0.032997721760858384,0.04081927436563546,5438.977812549979,133245.33316860953
Complex_038_J8_M6_B27,38,8,6,27,increasing,17.0,3186,0.8666558265686035,17.0,2842,0.764704704284668,17.0,554,1.5964829921722412,False,True,True,True,0.8920276208411801,0.8823626182868971,1.842118801062333,2.087711744451276
Complex_039_J8_M4_B42,39,8,4,42,random_realistic,48.0,1166,0.09806704521179199,48.0,45,0.00951075553894043,48.0,1300,6.061228275299072,False,True,True,True,0.038593481989708404,0.09698217702389607,61.806983805914086,637.3024993106214
Complex_040_J6_M4_B31,40,6,4,31,extreme,200.0,44,0.007017612457275391,200.0,32,0.007437944412231445,200.0,872,5.017237424850464,False,True,True,True,0.7272727272727273,1.0598967180811307,714.9493442957124,674.546238420361
Complex_041_J10_M5_B43,41,10,5,43,strong_correlation,19.0,13355,6.133524179458618,19.0,13232,6.081848621368408,19.0,2348,73.3415777683258,False,True,True,True,0.9907899663047548,0.9915748994251505,11.957493868524926,12.059092939380665
Complex_042_J10_M5_B20,42,10,5,20,subset_sum,10.0,411,0.07110142707824707,10.0,239,0.0390779972076416,10.0,133,0.32933545112609863,False,True,True,True,0.5815085158150851,0.54960918245194,4.631910562971756,8.427644062109149
Complex_043_J7_M3_B24,43,7,3,24,uniform_ratios,32.0,8115,6.187633752822876,32.0,6588,5.275439739227295,32.0,1466,5.005373239517212,False,True,True,True,0.811829944547135,0.8525778916408188,0.8089317240590876,0.9488068269073546
Complex_044_J10_M3_B17,44,10,3,17,high_variance,108.0,49,0.007003307342529297,108.0,27,0.006000518798828125,108.0,608,3.339670419692993,False,True,True,True,0.5510204081632653,0.8568121467964867,476.87046367535913,556.5636125238398
Complex_045_J10_M5_B39,45,10,5,39,increasing,22.0,33022,9.310266494750977,22.0,33013,9.354167699813843,22.0,4609,203.01535654067993,False,True,True,True,0.9997274544243232,1.0047153542906229,21.805536571390057,21.703198302155748
