parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,ceiling_runtime,ceiling_nodes,ceiling_pruned_bound,ceiling_pruning_rate,ceiling_makespan,ceiling_status,ceiling_leaf_timeout,ceiling_leaf_nodes,maxlpt_runtime,maxlpt_nodes,maxlpt_pruned_bound,maxlpt_pruning_rate,maxlpt_makespan,maxlpt_status,maxlpt_leaf_timeout,maxlpt_leaf_nodes,match_makespan,node_reduction_pct,speedup
machines,9,2,90002,8,9,2.0,0.00900125503540039,0,0,0.0,60.0,success,False,0,0.014003515243530273,0,0,0.0,60.0,success,False,0,True,,
machines,9,3,90003,8,9,2.0,17.81729531288147,51024,41505,0.8134407337723424,72.0,success,False,615,12.451464891433716,13654,9321,0.6826570968214443,72.0,success,False,314,True,73.24004390090937,1.430939690087333
machines,9,4,90004,8,9,2.0,0.009999752044677734,0,0,0.0,80.0,success,False,0,0.013004302978515625,0,0,0.0,80.0,success,False,0,True,,
machines,10,0,100000,8,10,2.0,0.010998010635375977,0,0,0.0,85.0,success,False,0,0.018003225326538086,0,0,0.0,85.0,success,False,0,True,,
machines,10,1,100001,8,10,2.0,0.012000322341918945,0,0,0.0,120.0,success,False,0,0.01900315284729004,0,0,0.0,120.0,success,False,0,True,,
machines,10,2,100002,8,10,2.0,0.014004230499267578,0,0,0.0,90.0,success,False,0,0.018002033233642578,0,0,0.0,90.0,success,False,0,True,,
machines,10,3,100003,8,10,2.0,0.012001514434814453,0,0,0.0,50.0,success,False,0,0.01900315284729004,0,0,0.0,50.0,success,False,0,True,,
machines,10,4,100004,8,10,2.0,0.009001970291137695,0,0,0.0,42.0,success,False,0,0.01300191879272461,0,0,0.0,42.0,success,False,0,True,,
machines,11,0,110000,8,11,2.0,0.009003162384033203,0,0,0.0,39.0,success,False,0,0.015004634857177734,0,0,0.0,39.0,success,False,0,True,,
machines,11,1,110001,8,11,2.0,0.01500248908996582,0,0,0.0,96.0,success,False,0,0.021004199981689453,0,0,0.0,96.0,success,False,0,True,,
machines,11,2,110002,8,11,2.0,0.016002893447875977,0,0,0.0,70.0,success,False,0,0.023006200790405273,0,0,0.0,70.0,success,False,0,True,,
machines,11,3,110003,8,11,2.0,0.010001897811889648,0,0,0.0,60.0,success,False,0,0.014003753662109375,0,0,0.0,60.0,success,False,0,True,,
machines,11,4,110004,8,11,2.0,0.008001089096069336,0,0,0.0,40.0,success,False,0,0.014003515243530273,0,0,0.0,40.0,success,False,0,True,,
machines,12,0,120000,8,12,2.0,0.009999990463256836,0,0,0.0,45.0,success,False,0,0.01700305938720703,0,0,0.0,45.0,success,False,0,True,,
machines,12,1,120001,8,12,2.0,0.013005256652832031,0,0,0.0,80.0,success,False,0,0.018004655838012695,0,0,0.0,80.0,success,False,0,True,,
machines,12,2,120002,8,12,2.0,90.49958944320679,278936,202732,0.7268047150600855,52.0,success,False,1565,76.75045275688171,56664,23647,0.4173196385712269,52.0,success,False,1257,True,79.68566266096883,1.1791407893042334
machines,12,3,120003,8,12,2.0,0.014001607894897461,0,0,0.0,60.0,success,False,0,0.015003681182861328,0,0,0.0,60.0,success,False,0,True,,
machines,12,4,120004,8,12,2.0,0.014003992080688477,0,0,0.0,72.0,success,False,0,0.031005144119262695,0,0,0.0,72.0,success,False,0,True,,
machines,13,0,130000,8,13,2.0,0.022005796432495117,0,0,0.0,80.0,success,False,0,0.02800440788269043,0,0,0.0,80.0,success,False,0,True,,
machines,13,1,130001,8,13,2.0,0.014003276824951172,0,0,0.0,48.0,success,False,0,0.024003982543945312,0,0,0.0,48.0,success,False,0,True,,
machines,13,2,130002,8,13,2.0,0.014000654220581055,0,0,0.0,51.0,success,False,0,0.026004314422607422,0,0,0.0,51.0,success,False,0,True,,
machines,13,3,130003,8,13,2.0,0.02100348472595215,0,0,0.0,50.0,success,False,0,0.025003433227539062,0,0,0.0,50.0,success,False,0,True,,
machines,13,4,130004,8,13,2.0,0.023003339767456055,0,0,0.0,120.0,success,False,0,0.04300642013549805,0,0,0.0,120.0,success,False,0,True,,
machines,14,0,140000,8,14,2.0,0.019002437591552734,0,0,0.0,60.0,success,False,0,0.025003910064697266,0,0,0.0,60.0,success,False,0,True,,
machines,14,1,140001,8,14,2.0,0.015001535415649414,0,0,0.0,57.0,success,False,0,0.022003889083862305,0,0,0.0,57.0,success,False,0,True,,
machines,14,2,140002,8,14,2.0,0.011001348495483398,0,0,0.0,38.0,success,False,0,0.018003463745117188,0,0,0.0,38.0,success,False,0,True,,
machines,14,3,140003,8,14,2.0,0.018002033233642578,0,0,0.0,80.0,success,False,0,0.023001670837402344,0,0,0.0,80.0,success,False,0,True,,
machines,14,4,140004,8,14,2.0,0.03700613975524902,0,0,0.0,28.0,success,False,0,0.021002769470214844,0,0,0.0,28.0,success,False,0,True,,
machines,15,0,150000,8,15,2.0,0.02300286293029785,0,0,0.0,52.0,success,False,0,0.027005434036254883,0,0,0.0,52.0,success,False,0,True,,
machines,15,1,150001,8,15,2.0,0.017004728317260742,0,0,0.0,60.0,success,False,0,0.023003816604614258,0,0,0.0,60.0,success,False,0,True,,
machines,15,2,150002,8,15,2.0,0.012001991271972656,0,0,0.0,22.0,success,False,0,0.018004179000854492,0,0,0.0,22.0,success,False,0,True,,
machines,15,3,150003,8,15,2.0,0.01700139045715332,0,0,0.0,57.0,success,False,0,0.02300286293029785,0,0,0.0,57.0,success,False,0,True,,
machines,15,4,150004,8,15,2.0,0.026004314422607422,0,0,0.0,38.0,success,False,0,0.022004127502441406,0,0,0.0,38.0,success,False,0,True,,
machines,16,0,160000,8,16,2.0,0.020003557205200195,0,0,0.0,39.0,success,False,0,0.026516437530517578,0,0,0.0,39.0,success,False,0,True,,
machines,16,1,160001,8,16,2.0,0.015000581741333008,0,0,0.0,57.0,success,False,0,0.027005672454833984,0,0,0.0,57.0,success,False,0,True,,
machines,16,2,160002,8,16,2.0,0.03500556945800781,0,0,0.0,100.0,success,False,0,0.03200531005859375,0,0,0.0,100.0,success,False,0,True,,
machines,16,3,160003,8,16,2.0,0.016002178192138672,0,0,0.0,56.0,success,False,0,0.024003267288208008,0,0,0.0,56.0,success,False,0,True,,
machines,16,4,160004,8,16,2.0,0.02600264549255371,0,0,0.0,75.0,success,False,0,0.029006481170654297,0,0,0.0,75.0,success,False,0,True,,
machines,17,0,170000,8,17,2.0,0.013001441955566406,0,0,0.0,30.0,success,False,0,0.020000457763671875,0,0,0.0,30.0,success,False,0,True,,
machines,17,1,170001,8,17,2.0,0.025004863739013672,0,0,0.0,52.0,success,False,0,0.024003267288208008,0,0,0.0,52.0,success,False,0,True,,
machines,17,2,170002,8,17,2.0,126.39171123504639,203971,108034,0.5296537252844767,39.0,success,False,3040,99.99224424362183,130822,63872,0.4882359236214092,39.0,success,False,2919,True,35.86245103470591,1.264015146285793
machines,17,3,170003,8,17,2.0,0.012001752853393555,0,0,0.0,36.0,success,False,0,0.027513504028320312,0,0,0.0,36.0,success,False,0,True,,
machines,17,4,170004,8,17,2.0,0.017001867294311523,0,0,0.0,27.0,success,False,0,0.020005464553833008,0,0,0.0,27.0,success,False,0,True,,
machines,18,0,180000,8,18,2.0,0.013000965118408203,0,0,0.0,34.0,success,False,0,0.01600193977355957,0,0,0.0,34.0,success,False,0,True,,
machines,18,1,180001,8,18,2.0,0.025002717971801758,0,0,0.0,100.0,success,False,0,0.03300118446350098,0,0,0.0,100.0,success,False,0,True,,
